bird_id,date,start_time,end_time,lat,lon,taxa,behavior,mesohabitat,photo_id,time,distance,transect,transect_start_lat,transect_start_lon,transect_end_lat,transect_end_lon
1,5/1/2019,10:27,12:27,,,Mourning Dove,Singing,no visual,,10:27,3,1,,,,
2,5/1/2019,10:27,12:27,,,Canyon Wren,Singing,no visual,,10:29,3,1,,,,
3,5/1/2019,10:27,12:27,34.78404,-115.66031,Phainopepla,Flying,air,,10:37,1,1,,,,
4,5/1/2019,10:27,12:27,34.7829,-115.66235,Mourning Dove,Standing on Ground,rock,,10:37,2,1,,,,
5,5/1/2019,10:27,12:27,34.7823,-115.66251,Phainopepla,Flying Between Plants,cactus canopy,,10:42,1,1,,,,
6,5/1/2019,10:27,12:27,34.78244,-115.66246,Phainopepla,Singing,cactus canopy,4-Jan,10:48,1,1,,,,
7,5/1/2019,10:27,12:27,34.78238,-115.66262,House Finch,Sitting on Plant,cactus canopy,8-May,10:52,1,1,,,,
8,5/1/2019,10:27,12:27,34.78224,-115.66208,,Flying,rock,12-Sep,10:55,2,1,,,,
9,5/1/2019,10:27,12:27,34.7823,-115.66251,Violet-green Swallow,Flying,air,13-14,10:57,1,1,,,,
10,5/1/2019,10:27,12:27,,,Mourning Dove,Singing,no visual,,10:58,3,1,,,,
11,5/1/2019,10:27,12:27,34.78249,-115.66231,,Flying on Plant,shrub,15-21,11:02,2,1,,,,
12,5/1/2019,10:27,12:27,34.78225,-115.66197,Phainopepla,Sitting on Plant,shrub,21-25,11:07,1,1,,,,
13,5/1/2019,10:27,12:27,34.78205,-115.66205,Hummingbird,Foraging,cactus canopy,,11:08,3,1,,,,
14,5/1/2019,10:27,12:27,34.782,-115.66183,Northern Mockingbird,Sitting on Plant,shrub,92-31,11:15,3,1,,,,
15,5/1/2019,10:27,12:27,34.78204,-115.66185,,Standing on Ground,rock,32-39,11:18,3,1,,,,
16,5/1/2019,10:27,12:27,34.78215,-115.66238,Phainopepla,Flying Between Plants,shrub,,11:26,2,1,,,,
17,5/1/2019,10:27,12:27,34.78228,-115.66245,Black-throated Sparrow,Singing,cactus canopy,,11:27,2,1,,,,
