id,date,latitude,longitude,treatment,x,y,z,quad_south,quad_west,experiment,notes
1,5/15/2019,34.78254,-115.66396,Poll,1,1,142,4,4,mimic,
2,5/15/2019,34.78308,-115.66332,Open,,,,1,10,mimic,
3,5/15/2019,34.78299,-115.66322,Zero,94,89,104,2,10,mimic,
4,5/15/2019,34.78254,-115.66252,Fifteen,190,114,114,8,9,mimic,
5,5/15/2019,34.78291,-115.66252,Thirty,175,165,122,6,1,mimic,
6,5/15/2019,34.78234,-115.66302,Shrub,302,201,106,9,6,mimic,
7,5/16/2019,34.78256,-115.66291,Poll,1,1,170,5,5,mimic,
8,5/16/2019,34.78237,-115.66339,Open,,,,8,8,mimic,
9,5/16/2019,34.7878225,-115.66264,Zero,112,94,107,8,1,mimic,
10,5/16/2019,34.78276,-115.66293,Fifteen,43,38,35,3,4,mimic,
11,5/16/2019,34.78291,-115.66265,Thirty,163,155,102,0,3,mimic,
12,5/16/2019,34.78232,-115.66299,Shrub,765,744,246,8,4,mimic,
13,5/17/2019,34.78202,-115.6628,Pole,1,1,67,10,4,mimic,inches
14,5/17/2019,34.7822,-115.66336,Open,,,,7,10,mimic,
15,5/17/2019,34.7829,-115.66334,Zero,,,,8,2,mimic,
16,5/17/2019,34.78273,-115.6629,Fifteen,71,41,59,4,2,mimic,
17,5/17/2019,34.78245,-115.6634,Thirty,48,49,41,7,7,mimic,
18,5/17/2019,34.78242,-115.6633,Shrub,43,51,32,7,7,mimic,
19,5/19/2019,34.78276,-115.6631,Pole,1,1,64,3,6,mimic,
20,5/19/2019,34.78288,-115.6632,Open,,,,3,10,mimic,
21,5/19/2019,34.78223,-115.66388,Zero,48,44,42,10,10,mimic,
22,5/19/2019,34.78231,-115.66378,Fifteen,57,44,45,9,9,mimic,
23,5/19/2019,34.78241,-115.66283,Thirty,52,39,57,6,3,mimic,
24,5/19/2019,34.78238,-115.66335,Shrub,84,65,39,9,8,mimic,
25,5/20/2019,34.7826,-115.66328,Pole,1,1,67,5,8,mimic,
26,5/20/2019,34.78231,-115.66263,Open,,,,7,1,mimic,
27,5/20/2019,34.78257,-115.6629,Zero,54,50,45,4,5,mimic,
28,5/20/2019,34.78299,-115.66266,Fifteen,67,45,46,0,3,mimic,
29,5/20/2019,34.7824,-115.66286,Thirty,57,47,37,3,7,mimic,
30,5/20/2019,34.78268,-115.66341,Shrub,118,110,75,4,10,mimic,
31,5/21/2019,34.78294,-115.66315,Pole,1,1,64,0,8,mimic,
