id,deploy_date,retrieve_date,lat,lon,x,y,z,top,middle,bottom,health,quad_south,quad_west,experiment
1,5/15/2019,5/27/2019,34.78279,-115.66316,60,57,40,40,19,0,4,5,7,mimic
2,5/15/2019,5/27/2019,34.78258,-115.66256,22,17,45,45,33,0,5,0,4,mimic
3,5/15/2019,5/27/2019,34.78281,-115.66246,75,55,52,52,27,0,,0,2,mimic
4,5/15/2019,5/27/2019,34.78286,-115.66265,8,6,45,45,17,0,5,2,2,mimic
5,5/15/2019,5/27/2019,34.78222,-115.66277,81,55,43,43,20,0,,1,8,mimic
6,5/15/2019,5/27/2019,34.78279,-115.66316,70,68,64,64,39,0,2,6,1,mimic
7,5/15/2019,5/27/2019,34.78209,-115.66277,63,62,54,54,30,0,5,1,9,mimic
8,5/15/2019,5/27/2019,34.78265,-115.66277,51,48,50,50,30,0,4,3,4,mimic
9,5/15/2019,5/27/2019,34.78231,-115.66275,38,31,35,35,15,0,,1,7,mimic
10,5/15/2019,5/27/2019,34.78277,-115.66275,135,110,78,78,51,0,3,3,3,mimic
11,5/28/2019,6/9/2019,34.78236,-115.66267,41,37,41,41,30,0,5,6,3,flower
12,5/28/2019,6/9/2019,34.78294,-115.66251,68,50,52,52,31,0,4,1,1,flower
13,5/28/2019,6/9/2019,34.783,-115.66337,62,47,59,59,36,0,3,1,10,flower
14,5/28/2019,6/9/2019,34.78274,-115.66251,47,45,55,55,33,0,5,3,0,flower
15,5/28/2019,6/9/2019,34.78214,-115.66278,58,58,50,50,36,0,4,10,2,flower
16,5/28/2019,6/9/2019,34.78253,-115.66254,88,69,75,75,46,0,2,5,0,flower
17,5/28/2019,6/9/2019,34.78287,-115.66242,51,46,45,45,23,0,5,1,0,flower
18,5/28/2019,6/9/2019,34.78233,-115.66357,36,31,48,48,26,0,5,9,9,flower
19,5/28/2019,6/9/2019,34.78231,-115.66341,52,51,47,47,28,0,5,8,7,flower
20,5/28/2019,6/9/2019,34.78236,-115.66275,44,23,37,37,20,0,5,7,3,flower
